Lease,Time (Days),Choke Size,Gas Volume (MMscf),Oil Volume (stb),Water Volume  (stb),Gas Lift Inj Volume  (MMscf),Casing Pressure  (psi(a)),Tubing Pressure  (psi(a)),Active Pressure  (psi(a)),Line Pressure  (psi(a)),Pressure Source ,Calculated Sandface Pressure  (psi(a))
OSPREY,1,,0.145,504.39,718,,2064.695943,14.695943,2064.695943,14.695943,Casing Pressure,5050.159793
OSPREY,2,,0.186,564.76,922,,1989.695943,14.695943,1989.695943,14.695943,Casing Pressure,5009.599839
OSPREY,3,,0.231,653.51,753,,1864.695943,14.695943,1864.695943,14.695943,Casing Pressure,4795.991972
OSPREY,4,,0.268,740.71,700,,1814.695943,14.695943,1814.695943,14.695943,Casing Pressure,4696.626023
OSPREY,5,,0.261,678.06,530,,1714.695943,14.695943,1714.695943,14.695943,Casing Pressure,4546.990059
OSPREY,6,,0.329,789.29,580,,2064.695943,14.695943,2064.695943,14.695943,Casing Pressure,4885.840869
OSPREY,7,,0.303,915.05,700,,1284.695943,14.695943,1284.695943,14.695943,Casing Pressure,4106.257575
OSPREY,8,,0.26,797.53,590,,1184.695943,14.695943,1184.695943,14.695943,Casing Pressure,3994.167632
OSPREY,9,,0.252,777.06,530,,1064.695943,14.695943,1064.695943,14.695943,Casing Pressure,3852.784965
OSPREY,10,,0.236,710.58,429,,994.695943,14.695943,994.695943,14.695943,Casing Pressure,3753.505491
OSPREY,11,,0.223,675.5,380,,914.695943,14.695943,914.695943,14.695943,Casing Pressure,3657.539551
OSPREY,12,,0.21,635.51,343,,854.695943,14.695943,854.695943,14.695943,Casing Pressure,3588.629665
OSPREY,13,,0.237,705.49,360,,724.695943,14.695943,724.695943,14.695943,Casing Pressure,3444.763107
OSPREY,14,,0.208,638.78,332,,664.695943,14.695943,664.695943,14.695943,Casing Pressure,3387.844555
OSPREY,15,,0.247,735.32,392,,504.695943,14.695943,504.695943,14.695943,Casing Pressure,3202.601618
OSPREY,16,,0.204,634.31,338,,454.695943,14.695943,454.695943,14.695943,Casing Pressure,3162.156168
OSPREY,17,,0.281,818.35,455,,254.695943,14.695943,254.695943,14.695943,Casing Pressure,2833.145946
OSPREY,18,,0.233,692.73,406,,214.695943,14.695943,214.695943,14.695943,Casing Pressure,2805.959021
OSPREY,19,,0.22,642.89,340,,174.695943,14.695943,174.695943,14.695943,Casing Pressure,2743.051652
OSPREY,20,,0.211,604.32,302,,154.695943,14.695943,154.695943,14.695943,Casing Pressure,2721.721559
OSPREY,21,,0.178,543.23,245,,149.695943,14.695943,149.695943,14.695943,Casing Pressure,2760.789064
OSPREY,22,,0.185,562.47,232,,134.695943,14.695943,134.695943,14.695943,Casing Pressure,2709.676417
OSPREY,23,,0.175,518.79,205,,134.695943,14.695943,134.695943,14.695943,Casing Pressure,2724.552898
OSPREY,24,,0.162,489.92,180,,119.695943,14.695943,119.695943,14.695943,Casing Pressure,2707.97154
OSPREY,25,,0.17,504.6,167,,114.695943,14.695943,114.695943,14.695943,Casing Pressure,2673.936807
OSPREY,26,,0.116,443.19,140,,114.695943,14.695943,114.695943,14.695943,Casing Pressure,2730.900294
